auc_score,auc_std,params,iteration,train_time
0.7659826074367895,0.032419313227917905,"{'alpha': 2.0296090922630006, 'colsample_bynode': 0.6956093954698886, 'eta': 0.10006392077646713, 'gamma': 2.946119511366352, 'lambda': 1.4372661120869494, 'max_depth': 1.0, 'n_estimators': 45.0, 'subsample': 0.6321548929399899}",24,1.8401392999949167
0.7421189633997411,0.03371508042724568,"{'alpha': 1.9678876321403398, 'colsample_bynode': 0.5919371938928712, 'eta': 0.13069188998841572, 'gamma': 1.6182281151587108, 'lambda': 1.4220574545528724, 'max_depth': 2.0, 'n_estimators': 4.0, 'subsample': 0.5095491660076568}",25,0.6840902000112692
0.7660024658528297,0.028262051892708924,"{'alpha': 1.98279760764774, 'colsample_bynode': 0.6757997968931515, 'eta': 0.13940540970490722, 'gamma': 2.876290165328361, 'lambda': 1.0097387048063862, 'max_depth': 2.0, 'n_estimators': 99.0, 'subsample': 0.649936020798449}",26,4.90987750000204
0.7680321746690771,0.031845842235989845,"{'alpha': 2.977545112973242, 'colsample_bynode': 0.6527144414356422, 'eta': 0.14011893781015455, 'gamma': 1.8909670280670832, 'lambda': 1.023379281689912, 'max_depth': 2.0, 'n_estimators': 98.0, 'subsample': 0.677784585764683}",27,4.649423499999102
0.7662738916549855,0.03185587007201268,"{'alpha': 2.901463761546578, 'colsample_bynode': 0.6335825061391068, 'eta': 0.1480327655233168, 'gamma': 1.8375639741606933, 'lambda': 1.9284701990571094, 'max_depth': 2.0, 'n_estimators': 69.0, 'subsample': 0.6928134297198272}",28,3.3958824000001187
0.7648283776641693,0.030310388463125497,"{'alpha': 2.9818699712771686, 'colsample_bynode': 0.5739800719202482, 'eta': 0.12361298912221688, 'gamma': 1.5387403762699083, 'lambda': 2.9930062848104972, 'max_depth': 1.0, 'n_estimators': 76.0, 'subsample': 0.594409296893119}",29,3.0244774000020698
0.769229085831014,0.030650553306567515,"{'alpha': 2.9358950218822377, 'colsample_bynode': 0.6460592916351692, 'eta': 0.25262552495441676, 'gamma': 0.7065397687587337, 'lambda': 1.1283362991532377, 'max_depth': 2.0, 'n_estimators': 98.0, 'subsample': 0.5345192769883383}",30,5.931245100000524
0.7647319472051883,0.02923323768702078,"{'alpha': 0.8930896114147286, 'colsample_bynode': 0.7179222034913871, 'eta': 0.2693536339842278, 'gamma': 0.529404973377815, 'lambda': 1.1255064350466957, 'max_depth': 1.0, 'n_estimators': 99.0, 'subsample': 0.6783146356988782}",31,4.603075899998657
0.766801920473117,0.03012661478065066,"{'alpha': 2.944025060073264, 'colsample_bynode': 0.8094508618917184, 'eta': 0.2511392384560043, 'gamma': 0.7388250952201927, 'lambda': 1.9177879827955824, 'max_depth': 2.0, 'n_estimators': 92.0, 'subsample': 0.541538510666155}",32,5.772002800003975
0.757363346675488,0.030790308645175096,"{'alpha': 2.983702682323132, 'colsample_bynode': 0.5016508930681902, 'eta': 0.31088325804010153, 'gamma': 1.3579896887030953, 'lambda': 1.567164128957816, 'max_depth': 4.0, 'n_estimators': 91.0, 'subsample': 0.5949759955630289}",33,7.317904700001236
0.7630244857604904,0.030708732765455996,"{'alpha': 0.13206991407388058, 'colsample_bynode': 0.5777688309579356, 'eta': 0.22994411225886857, 'gamma': 0.8131826054848557, 'lambda': 1.3405899172985611, 'max_depth': 3.0, 'n_estimators': 86.0, 'subsample': 0.8544407042626214}",34,4.858304900000803
0.7646851072008601,0.029898971274279283,"{'alpha': 2.5631259627573635, 'colsample_bynode': 0.6557984748140469, 'eta': 0.27015113174332006, 'gamma': 0.9949491073319053, 'lambda': 2.21649776586769, 'max_depth': 1.0, 'n_estimators': 95.0, 'subsample': 0.7601276355895735}",35,3.463037000008626
0.7645463123954891,0.0287983118220744,"{'alpha': 2.7397368579109167, 'colsample_bynode': 0.8302077026847496, 'eta': 0.3999612401748115, 'gamma': 0.1183797693698998, 'lambda': 1.1298679452664968, 'max_depth': 2.0, 'n_estimators': 77.0, 'subsample': 0.5337045176360307}",36,4.341341100007412
0.7223498917030772,0.029778261858947483,"{'alpha': 1.7985346086421847, 'colsample_bynode': 0.7200418182246339, 'eta': 0.29434880364466043, 'gamma': 1.8765326077127804, 'lambda': 1.1135720370723456, 'max_depth': 7.0, 'n_estimators': 83.0, 'subsample': 0.6115370455799506}",37,11.084196600000723
0.7582673431127488,0.030473300442462544,"{'alpha': 1.4523307544548776, 'colsample_bynode': 0.6179324956146935, 'eta': 0.37481210932695685, 'gamma': 0.041974228602233765, 'lambda': 1.5458805741605328, 'max_depth': 4.0, 'n_estimators': 63.0, 'subsample': 0.8246724655102777}",38,4.606461699993815
0.7613756484351337,0.029832109327699648,"{'alpha': 2.811809029819702, 'colsample_bynode': 0.7733611697854461, 'eta': 0.24638063973951801, 'gamma': 1.332343584532276, 'lambda': 2.103924517357801, 'max_depth': 3.0, 'n_estimators': 96.0, 'subsample': 0.6868247480533536}",39,6.309726499996032
0.7452828047610132,0.028371624348073568,"{'alpha': 0.9090609744015374, 'colsample_bynode': 0.5621546458205889, 'eta': 0.16752709213257216, 'gamma': 0.6752948885788226, 'lambda': 1.8473240471940051, 'max_depth': 5.0, 'n_estimators': 87.0, 'subsample': 0.7106428717004107}",40,7.285387799987802
